Language,Number of Tweets
"Sinhala, Sinhalese",3
Telugu,3
Divehi; Maldivian;,4
chr,52
Lao,10
Bengali,5
Burmese,2
Danish,56078
"Panjabi, Punjabi",6
Icelandic,12906
Malayalam,13
Gujarati,11
Nepali,191
Armenian,36
Tagalog,402095
Kannada,55
Japanese,44769
Tibetan,48
Tamil,131
Inuktitut,75
Chinese,10672
Vietnamese,128994
Urdu,761
"Greek, Modern",1828
Bulgarian,3554
Persian,10705
Ukrainian,1133
Swedish,73505
Hebrew (modern),1294
Hindi,1033
Hungarian,31676
French,195712
Slovak,75866
Portuguese,454125
und,1762673
English,42214828
Dutch,218683
German,184435
Korean,12362
Latvian,64996
Arabic,239927
Russian,49932
Italian,151859
Estonian,142399
Polish,96574
Georgian,115
Finnish,26532
Lithuanian,12742
Thai,20612
Indonesian,277536
Haitian,129084
Norwegian,20413
Spanish; Castilian,1406827
Slovene,76669
Turkish,107255
